ACI,AutoDESK,Berechnet,Ermittelt,Color Name,RGB
166,"0.0000,0.0750,0.3000","0,19,76","0,28,123",indigo-deep,"rgb(0, 19, 76)"
167,"0.1500,0.1875,0.3000","38,47,76","57,77,123",indigo-pale,"rgb(38, 47, 76)"
168,"0.0000,0.0375,0.1500","0,9,38","0,16,74",indigo-dark,"rgb(0, 9, 38)"
169,"0.0750,0.0938,0.1500","19,23,38","33,44,74",indigo-dusky,"rgb(19, 23, 38)"
170,"0.0000,0.0000,1.0000","0,0,255","0,0,255",blue,"rgb(0, 0, 255)"
171,"0.5000,0.5000,1.0000","127,127,255","123,125,255",blue-light,"rgb(127, 127, 255)"
172,"0.0000,0.0000,0.6500","0,0,165","0,0,206",blue-strong,"rgb(0, 0, 165)"
173,"0.3250,0.3250,0.6500","82,82,165","99,101,206",blue-muted,"rgb(82, 82, 165)"
174,"0.0000,0.0000,0.5000","0,0,127","0,0,156",blue-medium,"rgb(0, 0, 127)"
175,"0.2500,0.2500,0.5000","63,63,127","74,77,156",blue-soft,"rgb(63, 63, 127)"
176,"0.0000,0.0000,0.3000","0,0,76","0,0,123",blue-deep,"rgb(0, 0, 76)"
177,"0.1500,0.1500,0.3000","38,38,76","57,60,123",blue-pale,"rgb(38, 38, 76)"
178,"0.0000,0.0000,0.1500","0,0,38","0,0,74",blue-dark,"rgb(0, 0, 38)"
179,"0.0750,0.0750,0.1500","19,19,38","33,36,74",blue-dusky,"rgb(19, 19, 38)"
180,"0.2500,0.0000,1.0000","63,0,255","57,0,255",violet,"rgb(63, 0, 255)"
181,"0.6250,0.5000,1.0000","159,127,255","156,125,255",violet-light,"rgb(159, 127, 255)"
182,"0.1625,0.0000,0.6500","41,0,165","49,0,206",violet-strong,"rgb(41, 0, 165)"
183,"0.4063,0.3250,0.6500","103,82,165","123,101,206",violet-muted,"rgb(103, 82, 165)"
184,"0.1250,0.0000,0.5000","31,0,127","33,0,156",violet-medium,"rgb(31, 0, 127)"
185,"0.3125,0.2500,0.5000","79,63,127","90,77,156",violet-soft,"rgb(79, 63, 127)"
186,"0.0750,0.0000,0.3000","19,0,76","24,0,123",violet-deep,"rgb(19, 0, 76)"
187,"0.1875,0.1500,0.3000","47,38,76","74,60,123",violet-pale,"rgb(47, 38, 76)"
188,"0.0375,0.0000,0.1500","9,0,38","16,0,74",violet-dark,"rgb(9, 0, 38)"
189,"0.0938,0.0750,0.1500","23,19,38","41,36,74",violet-dusky,"rgb(23, 19, 38)"
190,"0.5000,0.0000,1.0000","127,0,255","123,0,255",purple,"rgb(127, 0, 255)"
191,"0.7500,0.5000,1.0000","191,127,255","189,125,255",purple-light,"rgb(191, 127, 255)"
192,"0.3250,0.0000,0.6500","82,0,165","99,0,206",purple-strong,"rgb(82, 0, 165)"
193,"0.4875,0.3250,0.6500","124,82,165","156,101,206",purple-muted,"rgb(124, 82, 165)"
194,"0.2500,0.0000,0.5000","63,0,127","74,0,156",purple-medium,"rgb(63, 0, 127)"
195,"0.3750,0.2500,0.5000","95,63,127","115,77,156",purple-soft,"rgb(95, 63, 127)"
196,"0.1500,0.0000,0.3000","38,0,76","57,0,123",purple-deep,"rgb(38, 0, 76)"
197,"0.2250,0.1500,0.3000","57,38,76","90,60,123",purple-pale,"rgb(57, 38, 76)"
198,"0.0750,0.0000,0.1500","19,0,38","33,0,74",purple-dark,"rgb(19, 0, 38)"
199,"0.1125,0.0750,0.1500","28,19,38","57,36,74",purple-dusky,"rgb(28, 19, 38)"
200,"0.7500,0.0000,1.0000","191,0,255","189,0,255",lavender,"rgb(191, 0, 255)"
201,"0.8750,0.5000,1.0000","223,127,255","122,125,255",lavender-light,"rgb(223, 127, 255)"
202,"0.4875,0.0000,0.6500","124,0,165","156,0,206",lavender-strong,"rgb(124, 0, 165)"
203,"0.5688,0.3250,0.6500","145,82,165","181,101,206",lavender-muted,"rgb(145, 82, 165)"
204,"0.3750,0.0000,0.5000","95,0,127","115,0,156",lavender-medium,"rgb(95, 0, 127)"
205,"0.4375,0.2500,0.5000","111,63,127","132,77,156",lavender-soft,"rgb(111, 63, 127)"
206,"0.2250,0.0000,0.3000","57,0,76","90,0,123",lavender-deep,"rgb(57, 0, 76)"
207,"0.2625,0.1500,0.3000","66,38,76","107,60,123",lavender-pale,"rgb(66, 38, 76)"
208,"0.1125,0.0000,0.1500","28,0,38","57,0,74",lavender-dark,"rgb(28, 0, 38)"
209,"0.1313,0.0750,0.1500","33,19,38","66,36,74",lavender-dusky,"rgb(33, 19, 38)"
210,"1.0000,0.0000,1.0000","255,0,255","255,0,255",magenta,"rgb(255, 0, 255)"
211,"1.0000,0.5000,1.0000","255,127,255","255,125,255",magenta-light,"rgb(255, 127, 255)"
212,"0.6500,0.0000,0.6500","165,0,165","206,0,206",magenta-strong,"rgb(165, 0, 165)"
213,"0.6500,0.3250,0.6500","165,82,165","206,101,206",magenta-muted,"rgb(165, 82, 165)"
214,"0.5000,0.0000,0.5000","127,0,127","156,0,156",magenta-medium,"rgb(127, 0, 127)"
215,"0.5000,0.2500,0.5000","127,63,127","156,77,156",magenta-soft,"rgb(127, 63, 127)"
216,"0.3000,0.0000,0.3000","76,0,76","123,0,123",magenta-deep,"rgb(76, 0, 76)"
217,"0.3000,0.1500,0.3000","76,38,76","123,60,123",magenta-pale,"rgb(76, 38, 76)"
218,"0.1500,0.0000,0.1500","38,0,38","74,0,74",magenta-dark,"rgb(38, 0, 38)"
219,"0.1500,0.0750,0.1500","38,19,38","74,36,74",magenta-dusky,"rgb(38, 19, 38)"
220,"1.0000,0.0000,0.7500","255,0,191","255,0,189",fuchsia,"rgb(255, 0, 191)"
221,"1.0000,0.5000,0.8750","255,127,223","255,125,222",fuchsia-light,"rgb(255, 127, 223)"
